EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
2.071,1.129,2.011,0.873,2.353,4.765,1.260,4.702,0.044,0.985,-0.284,-1.770,0.183,0.397,100.000,74207.000,1.000
2.492,0.600,2.390,0.515,2.397,4.892,1.096,2.658,0.044,0.981,-0.285,-1.923,0.183,0.519,100.000,74208.000,1.000
3.203,0.172,2.988,0.711,2.875,5.253,1.965,1.054,0.045,0.983,-0.282,-1.923,0.122,0.488,100.000,74209.000,1.000
4.183,0.207,3.823,1.470,3.948,5.868,3.540,0.273,0.045,0.982,-0.284,-1.892,0.214,0.366,100.000,74210.000,1.000
5.102,0.806,4.670,2.479,5.385,6.527,5.181,0.385,0.046,0.982,-0.286,-1.923,0.275,0.488,100.000,74211.000,1.000
5.641,1.879,5.313,3.400,6.873,7.128,6.524,1.319,0.047,0.979,-0.287,-1.892,0.275,0.397,100.000,74212.000,1.000
5.626,3.197,5.694,4.054,8.210,7.663,7.449,2.797,0.048,0.979,-0.284,-1.831,0.244,0.336,100.000,74213.000,1.000
4.993,4.367,5.826,4.410,9.244,8.001,7.852,4.306,0.048,0.978,-0.286,-1.892,0.366,0.305,100.000,74214.000,1.000
3.782,4.917,5.621,4.480,9.747,7.907,7.667,5.310,0.047,0.978,-0.284,-1.831,0.366,0.153,100.000,74215.000,1.000
2.081,4.470,4.804,4.167,9.364,7.148,6.823,5.436,0.047,0.977,-0.281,-1.801,0.519,0.275,100.000,74216.000,1.000
-0.061,2.851,3.065,3.262,7.741,5.526,5.156,4.536,0.046,0.977,-0.281,-1.770,0.549,0.275,100.000,74217.000,1.000
-2.533,0.249,0.429,1.679,4.916,3.099,2.718,2.786,0.047,0.976,-0.280,-1.434,0.519,0.214,100.000,74218.000,1.000
-5.044,-2.691,-2.557,-0.389,1.533,0.376,0.048,0.605,0.048,0.975,-0.283,-1.373,0.519,0.214,100.000,74219.000,1.000
-7.246,-5.152,-5.140,-2.654,-1.482,-1.929,-2.197,-1.682,0.047,0.974,-0.280,-1.190,0.549,0.336,100.000,74220.000,1.000
-8.945,-6.677,-6.852,-4.916,-3.510,-3.431,-3.819,-3.981,0.047,0.973,-0.281,-1.068,0.519,0.153,100.000,74221.000,1.000
-10.209,-7.387,-7.748,-7.013,-4.503,-4.325,-5.101,-6.225,0.048,0.972,-0.280,-0.885,0.549,0.244,100.000,74222.000,1.000
-11.264,-7.670,-8.219,-8.703,-4.774,-4.994,-6.194,-8.146,0.047,0.973,-0.280,-0.793,0.641,0.275,100.000,74223.000,1.000
-12.184,-7.704,-8.529,-9.605,-4.584,-5.412,-6.679,-9.169,0.047,0.972,-0.280,-0.580,0.610,0.336,100.000,74224.000,1.000
-12.625,-7.274,-8.459,-9.220,-3.943,-5.104,-5.910,-8.578,0.046,0.970,-0.282,-0.427,0.519,0.275,100.000,74225.000,1.000
-11.898,-5.939,-7.373,-7.117,-2.660,-3.623,-3.649,-5.895,0.044,0.971,-0.282,-0.214,0.427,0.336,100.000,74226.000,1.000
-9.358,-3.340,-4.646,-3.202,-0.501,-0.920,-0.242,-1.212,0.043,0.972,-0.279,0.000,0.519,0.397,100.000,74227.000,1.000
-4.866,0.518,-0.183,2.119,2.569,2.561,3.566,4.669,0.046,0.971,-0.282,0.183,0.397,0.366,100.000,74228.000,1.000
0.938,5.079,5.289,7.919,6.138,5.973,6.891,10.442,0.044,0.971,-0.282,0.336,0.305,0.427,100.000,74229.000,1.000
6.765,9.319,10.384,12.912,9.355,8.347,8.964,14.727,0.045,0.970,-0.284,0.488,0.305,0.427,100.000,74230.000,1.000
11.200,12.149,13.700,15.896,11.284,9.003,9.329,16.527,0.048,0.970,-0.282,0.732,0.427,0.488,100.000,74231.000,1.000
13.304,12.903,14.477,16.286,11.350,7.815,7.946,15.571,0.046,0.972,-0.281,0.977,0.305,0.519,100.000,74232.000,1.000
12.926,11.619,12.836,14.337,9.605,5.214,5.226,12.430,0.045,0.974,-0.283,0.977,0.214,0.641,100.000,74233.000,1.000
10.682,8.992,9.604,10.969,6.711,2.057,1.974,8.273,0.048,0.975,-0.280,1.160,0.183,0.580,100.000,74234.000,1.000
7.595,6.025,5.899,7.304,3.681,-0.654,-0.876,4.325,0.047,0.977,-0.280,1.190,0.122,0.671,100.000,74235.000,1.000
4.608,3.578,2.691,4.217,1.431,-2.222,-2.606,1.360,0.047,0.976,-0.281,1.282,0.153,0.580,100.000,74236.000,1.000
2.279,2.133,0.543,2.153,0.404,-2.544,-2.913,-0.332,0.045,0.974,-0.286,1.312,0.244,0.519,100.000,74237.000,1.000
0.842,1.809,-0.389,1.201,0.525,-1.993,-1.948,-0.693,0.047,0.977,-0.284,1.282,0.183,0.488,100.000,74238.000,1.000
0.380,2.413,-0.217,1.221,1.422,-1.128,-0.254,0.112,0.047,0.979,-0.287,1.282,0.183,0.580,100.000,74239.000,1.000
0.839,3.552,0.783,1.934,2.705,-0.358,1.479,1.594,0.049,0.981,-0.281,1.312,0.214,0.549,100.000,74240.000,1.000
2.036,4.882,2.283,3.011,4.177,0.364,2.770,3.120,0.050,0.981,-0.284,1.282,0.305,0.519,100.000,74241.000,1.000
3.749,6.197,3.997,4.153,5.791,1.432,3.475,4.158,0.050,0.979,-0.281,1.190,0.153,0.458,100.000,74242.000,1.000
5.664,7.268,5.587,5.076,7.380,3.056,3.627,4.365,0.051,0.976,-0.281,1.190,0.214,0.336,100.000,74243.000,1.000
7.242,7.766,6.615,5.475,8.515,4.949,3.321,3.663,0.050,0.975,-0.284,1.251,0.214,0.305,100.000,74244.000,1.000
7.881,7.464,6.757,5.162,8.751,6.507,2.699,2.298,0.050,0.975,-0.287,1.221,0.275,0.305,100.000,74245.000,1.000
7.334,6.496,6.116,4.229,7.972,7.190,1.915,0.719,0.049,0.976,-0.290,1.282,0.214,0.305,100.000,74246.000,1.000
5.904,5.334,5.187,3.027,6.502,6.783,1.110,-0.650,0.047,0.979,-0.291,1.251,0.214,0.275,100.000,74247.000,1.000
4.172,4.387,4.448,1.904,4.844,5.423,0.375,-1.612,0.048,0.981,-0.287,1.251,0.244,0.305,100.000,74248.000,1.000
2.578,3.656,4.000,0.975,3.342,3.465,-0.235,-2.223,0.048,0.983,-0.287,1.373,0.275,0.275,100.000,74249.000,1.000
1.327,2.883,3.642,0.205,2.108,1.337,-0.618,-2.570,0.047,0.982,-0.289,1.190,0.214,0.244,100.000,74250.000,1.000
